Season,season_id,Team,t_score,RATE_NORM,team_value,WINS_score,market_size,superteam_flg
2016-17,2016,CLE,86.94249905,63.8880377,75.41526837,7.891868902,1.5,1
2016-17,2016,DAL,71.88144362,14.352441,43.11694231,2.749050305,2.71,0
2016-17,2016,DEN,53.92737039,8.844875421,31.38612291,4.174044207,1.63,0
2016-17,2016,DET,59.07488162,15.41646586,37.24567374,3.612912602,1.85,0
2016-17,2016,GSW,91.24036744,99.38394124,95.31215434,10.71445783,2.49,1
2016-17,2016,HOU,72.18429774,26.34951093,49.26690433,7.909822154,2.45,0
2016-17,2016,IND,67.81452449,24.68654642,46.25053545,4.933592988,1.09,0
2016-17,2016,LAC,73.91371351,17.71949938,45.81660644,5.350770833,5.48,0
2016-17,2016,LAL,78.71357064,28.5223073,53.61793897,1.331470528,5.48,0
2016-17,2016,MEM,63.54891339,9.022612945,36.28576317,4.210608232,0.63,0
2016-17,2016,MIA,73.84592859,34.37485699,54.11039279,4.12122815,1.7,0
2016-17,2016,MIL,63.77438417,16.1210709,39.94772753,4.538004573,0.9,0
2016-17,2016,MIN,58.31334411,17.75042146,38.03188278,4.634551829,1.74,0
2016-17,2016,NOP,69.12979719,6.633856775,37.88182698,4.087164126,0.64,0
2016-17,2016,NYK,76.3046167,36.3965152,56.35056595,2.76003811,7.35,0
2016-17,2016,OKC,81.64230717,30.9184623,56.28038474,5.780174797,0.72,0
2016-17,2016,ORL,62.70784632,8.102156795,35.40500156,2.927712398,1.52,0
2016-17,2016,PHI,65.86802793,28.34879121,47.10840957,2.407231707,2.94,0
2016-17,2016,PHX,61.85316573,15.48368467,38.6684252,2.411881098,1.89,0
2016-17,2016,POR,72.54578669,23.99149272,48.26863971,4.561281504,1.14,0
2016-17,2016,SAC,71.97353556,17.93156965,44.95255261,2.74067124,1.38,0
2016-17,2016,SAS,76.5707979,38.80664302,57.68872046,6.377697154,0.94,1
2016-17,2016,TOR,77.05341539,6.595641966,41.82452868,5.216762195,2.86,0
2016-17,2016,UTA,64.97542799,29.4134368,47.19443239,5.824273882,0.92,0
2016-17,2016,WAS,65.63094349,15.73617237,40.68355793,5.205330285,2.48,0
2017-18,2017,ATL,64.48786637,8.60732276,36.54759457,1.977678862,2.41,0
2017-18,2017,BOS,88.58525025,40.6805782,64.63291422,6.16623374,2.42,1
2017-18,2017,BRK,66.889162,9.788169051,38.33866553,3.140399898,7.35,0
2017-18,2017,CHA,66.40994801,9.025253471,37.71760074,4.449525407,1.19,0
2017-18,2017,CHI,70.9233926,46.14986384,58.53662822,2.049957825,3.46,0
2017-18,2017,CLE,93.29710145,69.41308069,81.35509107,5.898569106,1.5,1
2017-18,2017,DAL,70.70878197,11.75094023,41.2298611,2.592946138,2.71,0
2017-18,2017,DEN,58.77556615,9.44844353,34.11200484,5.10932622,1.63,0
2017-18,2017,DET,65.34128304,19.41275438,42.37701871,3.670629065,1.85,0
2017-18,2017,GSW,83.57304551,94.51349627,89.04327089,7.363374492,2.49,1
2017-18,2017,HOU,77.02504236,23.71990166,50.37247201,8.168541159,2.45,0
2017-18,2017,IND,63.43331585,32.2356081,47.83446198,5.525389228,1.09,0
2017-18,2017,LAC,67.67915981,13.19948376,40.43932179,3.398924289,5.48,0
2017-18,2017,LAL,80.25178718,31.97713475,56.11446096,2.948228659,5.48,0
2017-18,2017,MEM,64.96515423,6.14624536,35.55569979,1.97714685,0.63,0
2017-18,2017,MIA,75.13923229,34.90296406,55.02109817,4.484081301,1.7,0
2017-18,2017,MIL,66.07860685,16.70285233,41.39072959,5.378017276,0.9,0
2017-18,2017,MIN,64.83923538,28.98759582,46.9134156,6.238096545,1.74,0
2017-18,2017,NOP,70.19630196,7.500148583,38.84822527,6.68454065,0.64,0
2017-18,2017,NYK,73.01427072,34.23276893,53.62351982,1.875985772,7.35,0
2017-18,2017,OKC,83.32107826,32.9297147,58.12539648,6.464552337,0.72,1
2017-18,2017,ORL,63.49241395,6.032133237,34.76227359,1.917527439,1.52,0
2017-18,2017,PHI,76.77435761,36.48946455,56.63191108,6.915247459,2.94,0
2017-18,2017,PHX,62.4671876,8.380296177,35.42374189,0.666188516,1.89,0
2017-18,2017,POR,71.86957705,24.66451836,48.26704771,5.043091972,1.14,0
2017-18,2017,SAC,66.81616343,12.72823773,39.77220058,1.326374492,1.38,0
2017-18,2017,SAS,78.51816616,41.80463417,60.16140016,4.41894563,0.94,0
2017-18,2017,TOR,73.25454508,7.28626734,40.27040621,6.50302998,2.86,0
2017-18,2017,UTA,67.05789008,36.57970189,51.81879599,6.112659553,0.92,0
2017-18,2017,WAS,63.06312984,21.07131524,42.06722254,3.091992378,2.48,0
