Team_id,season_id,City,Short_Name,Nickname,Team_Minutes_Weighted_Avg_RPM,Sum_DRPM,Sum_ORPM,Sum_RPM,Sum_WINS
1610612737,2013,Atlanta,Atlanta,Hawks,0.13247474120194605,-0.5199999999999978,-17.029999999999998,-17.55,28.479999999999997
1610612737,2014,Atlanta,Atlanta,Hawks,1.2224537150189416,5.230000000000002,-0.31999999999999873,4.910000000000001,43.370000000000005
1610612737,2015,Atlanta,Atlanta,Hawks,0.962710321206886,8.149999999999999,-4.76,3.3900000000000023,51.35000000000001
1610612737,2016,Atlanta,Atlanta,Hawks,-0.4935102657180195,6.280000000000001,-21.4,-15.120000000000001,28.749999999999996
1610612737,2017,Atlanta,Atlanta,Hawks,-1.1459669579791691,-9.17,-20.810000000000002,-29.98,25.26
1610612738,2013,Boston,Boston,Celtics,-1.071298899521531,-7.3500000000000005,-18.09,-25.439999999999998,16.55
1610612738,2014,Boston,Boston,Celtics,-0.8022544844691633,-2.91,-12.82,-15.729999999999997,19.429999999999996
1610612738,2015,Boston,Boston,Celtics,0.816218981039079,6.789999999999999,-8.74,-1.9499999999999984,51.28000000000001
1610612738,2016,Boston,Boston,Celtics,0.5960602226720649,-0.5499999999999999,-6.52,-7.07,46.970000000000006
1610612738,2017,Boston,Boston,Celtics,0.7723616331955725,8.71,-17.349999999999998,-8.639999999999995,47.16
1610612739,2013,Cleveland,Cleveland,Cavaliers,-0.9370268205689894,-5.57,-15.8,-21.37,15.22
1610612739,2014,Cleveland,Cleveland,Cavaliers,1.3379429498254645,-1.7500000000000004,-0.3800000000000019,-2.129999999999999,38.47
1610612739,2015,Cleveland,Cleveland,Cavaliers,1.6979826080586842,1.659999999999999,0.8800000000000021,2.5399999999999956,56.730000000000004
1610612739,2016,Cleveland,Cleveland,Cavaliers,1.610745139236098,1.1799999999999997,2.079999999999999,3.259999999999998,53.39999999999999
1610612739,2017,Cleveland,Cleveland,Cavaliers,0.16038287192755488,-7.11,-7.74,-14.849999999999998,41.08999999999999
1610612740,2013,New Orleans,New Orleans,Pelicans,-0.9354305255248349,-5.98,-7.910000000000001,-13.889999999999999,16.849999999999994
1610612740,2014,New Orleans,New Orleans,Pelicans,0.5750346071358936,-9.04,-3.34,-12.379999999999999,32.949999999999996
1610612740,2015,New Orleans,New Orleans,Pelicans,-0.8532969835269126,-6.819999999999999,-9.569999999999999,-16.39,27.790000000000003
1610612740,2016,New Orleans,New Orleans,Pelicans,-0.455797421640506,-2.970000000000001,-21.11,-24.080000000000002,34.34
1610612740,2017,New Orleans,New Orleans,Pelicans,0.4570685523270761,-1.35,-13.879999999999999,-15.23,44.99999999999999
1610612741,2013,Chicago,Chicago,Bulls,1.0531011601913762,10.280000000000001,-17.66,-7.379999999999997,39.059999999999995
1610612741,2014,Chicago,Chicago,Bulls,0.9740907488491622,2.12,0.69,2.8099999999999996,39.99999999999999
1610612741,2015,Chicago,Chicago,Bulls,-0.19670055190430213,-0.6100000000000008,-7.1499999999999995,-7.76,35.78
1610612741,2016,Chicago,Chicago,Bulls,0.33578821010105453,6.83,-11.279999999999998,-4.45,39.70000000000001
1610612741,2017,Chicago,Chicago,Bulls,-1.2922631369029813,-12.130000000000003,-21.86,-33.99,23.92
1610612742,2013,Dallas,Dallas,Mavericks,1.093451832898488,-1.5300000000000002,0.3500000000000001,-1.1799999999999988,42.099999999999994
1610612742,2014,Dallas,Dallas,Mavericks,0.670303941856357,-3.4099999999999993,-1.0499999999999998,-4.460000000000001,37.84
1610612742,2015,Dallas,Dallas,Mavericks,-0.11596605097513148,0.3299999999999992,-7.740000000000001,-7.41,35.62000000000001
1610612742,2016,Dallas,Dallas,Mavericks,-0.5953064293836827,2.17,-21.44,-19.27,29.240000000000002
1610612742,2017,Dallas,Dallas,Mavericks,-0.14031938366947236,7.15,-17.380000000000003,-10.23,29.790000000000003
1610612743,2013,Denver,Denver,Nuggets,-0.5894764527635676,-5.56,-9.260000000000002,-14.82,22.12
1610612743,2014,Denver,Denver,Nuggets,-0.011159032540287217,-4.93,-5.24,-10.17,26.31
1610612743,2015,Denver,Denver,Nuggets,-0.617438805970149,-5.65,-4.86,-10.51,29.24
1610612743,2016,Denver,Denver,Nuggets,0.22033142787333335,-5.3199999999999985,-0.39000000000000057,-5.710000000000002,42.95
1610612743,2017,Denver,Denver,Nuggets,0.31630498666760737,-4.460000000000001,-10.53,-14.990000000000002,43.07000000000001
1610612744,2013,Golden State,Golden State,Warriors,1.4263691846727726,10.280000000000001,-16.599999999999998,-6.320000000000002,47.25000000000001
1610612744,2014,Golden State,Golden State,Warriors,2.760492844059483,11.47,5.089999999999998,16.56,64.16
1610612744,2015,Golden State,Golden State,Warriors,2.838597080127845,8.060000000000002,8.080000000000002,16.14,73.90000000000002
1610612744,2016,Golden State,Golden State,Warriors,3.338572856619239,14.21,5.070000000000002,19.279999999999998,77.38
1610612744,2017,Golden State,Golden State,Warriors,1.52262363423616,9.929999999999998,0.08999999999999941,10.020000000000003,61.21000000000001
1610612745,2013,Houston,Houston,Rockets,0.9687004792094531,0.06000000000000094,-3.0100000000000007,-2.9500000000000015,42.29
1610612745,2014,Houston,Houston,Rockets,1.1616309876218667,4.839999999999999,-7.869999999999999,-3.03,39.050000000000004
1610612745,2015,Houston,Houston,Rockets,0.02286187010501398,-5.069999999999999,-9.899999999999999,-14.969999999999999,39.95999999999999
1610612745,2016,Houston,Houston,Rockets,1.2728606403200602,1.4400000000000008,-4.950000000000001,-3.510000000000002,58.440000000000005
