DRPM,GP,MPG,ORPM,RPM,Season_End_Year,Season_Start_Year,WINS,names
1.69,25,10.0,-5.04,-3.35,2014,2013,-0.15,Chris Singleton
-0.80,37,8.6,-2.69,-3.49,2014,2013,-0.21,Otto Porter Jr.
-1.42,15,16.3,-2.15,-3.57,2014,2013,-0.18,Jorge Gutierrez
-0.50,5,16.0,-3.16,-3.66,2014,2013,-0.07,JaVale McGee
-3.46,77,22.6,-0.22,-3.68,2014,2013,-1.50,Hollis Thompson
1.00,76,15.4,-4.79,-3.79,2014,2013,-1.03,Andrew Nicholson
0.50,37,13.2,-4.32,-3.82,2014,2013,-0.44,Vitor Faverani
0.46,37,9.6,-4.35,-3.89,2014,2013,-0.33,Aaron Gray
-2.29,53,13.1,-1.61,-3.90,2014,2013,-0.65,Doron Lamb
-2.84,29,8.3,-1.13,-3.97,2014,2013,-0.24,Jannero Pargo
-0.11,77,13.9,-3.90,-4.01,2014,2013,-1.06,Bismack Biyombo
-1.41,71,14.8,-2.71,-4.12,2014,2013,-1.12,Diante Garrett
-1.75,42,14.1,-2.38,-4.13,2014,2013,-0.64,John Lucas III
-2.21,12,15.6,-1.94,-4.15,2014,2013,-0.23,Arnett Moultrie
-1.93,50,7.6,-2.30,-4.23,2014,2013,-0.43,Rasual Butler
-2.60,31,9.4,-1.67,-4.27,2014,2013,-0.36,Gal Mekel
2.94,62,19.5,-7.25,-4.31,2014,2013,-1.51,Kendrick Perkins
-0.83,79,28.4,-3.54,-4.37,2014,2013,-3.01,Wesley Johnson
-0.82,26,24.2,-3.58,-4.40,2014,2013,-0.80,Jeffery Taylor
-0.47,72,20.8,-2.82,-3.29,2014,2013,-0.91,Jordan Hill
-2.90,72,21.6,-0.44,-3.34,2014,2013,-0.92,Trevor Booker
-0.92,21,4.4,-2.57,-3.49,2014,2013,-0.07,Ognjen Kuzmic
0.18,60,13.6,-3.73,-3.55,2014,2013,-0.63,Gorgui Dieng
-0.30,81,14.8,-3.35,-3.65,2014,2013,-0.99,Steven Adams
-2.94,68,13.8,-0.74,-3.68,2014,2013,-0.78,Cory Joseph
-2.33,72,23.2,-1.45,-3.78,2014,2013,-1.45,Brian Roberts
1.01,46,14.2,-4.81,-3.80,2014,2013,-0.55,Udonis Haslem
-3.88,71,27.3,0.03,-3.85,2014,2013,-1.70,D.J. Augustin
-1.55,70,12.5,-2.34,-3.89,2014,2013,-0.82,Thomas Robinson
-2.53,24,9.3,-1.41,-3.94,2014,2013,-0.21,Peyton Siva
-4.37,80,34.1,0.39,-3.98,2014,2013,-2.82,Brandon Jennings
-2.76,61,18.7,-1.26,-4.02,2014,2013,-1.13,Luke Ridnour
-0.02,76,28.2,-4.11,-4.13,2014,2013,-2.28,Carlos Boozer
-0.66,24,2.6,-3.47,-4.13,2014,2013,-0.07,Erik Jay Murphy
-1.21,79,19.1,-2.99,-4.20,2014,2013,-1.71,E'Twaun Moore
-0.66,23,9.2,-3.60,-4.26,2014,2013,-0.25,Greg Oden
0.14,54,14.4,-4.44,-4.30,2014,2013,-0.95,Jan Vesely
-3.06,22,11.5,-1.25,-4.31,2014,2013,-0.33,Isaiah Canaan
-1.18,20,10.8,-3.20,-4.38,2014,2013,-0.28,Mike Muscala
-4.92,52,21.4,0.49,-4.43,2014,2013,-1.40,Gary Neal
-1.61,41,9.7,-2.90,-4.51,2014,2013,-0.53,Jeremy Tyler
-2.41,35,9.0,-2.17,-4.58,2014,2013,-0.47,MarShon Brooks
-1.96,65,15.7,-2.67,-4.63,2014,2013,-1.46,Alonzo Gee
-3.53,56,25.3,-1.19,-4.72,2014,2013,-2.09,Caron Butler
-1.02,43,12.3,-3.87,-4.89,2014,2013,-0.88,Anthony Randolph
-1.47,22,7.1,-3.59,-5.06,2014,2013,-0.27,Sergey Karasev
-0.56,41,9.4,-4.53,-5.09,2014,2013,-0.65,Will Barton
-0.62,69,26.9,-4.57,-5.19,2014,2013,-3.43,JJ Hickson
-1.94,52,12.8,-3.31,-5.25,2014,2013,-1.22,Anthony Bennett
-2.16,65,22.6,-3.25,-5.41,2014,2013,-2.58,Amar'e Stoudemire
-2.68,82,26.7,-2.81,-5.49,2014,2013,-4.29,Ben McLemore
-3.46,29,8.7,-2.13,-5.59,2014,2013,-0.52,Shannon Brown
-1.94,52,10.3,-3.71,-5.65,2014,2013,-1.14,Archie Goodwin
-2.35,70,26.5,-3.42,-5.77,2014,2013,-3.82,John Henson
-4.89,81,23.1,-1.50,-6.39,2014,2013,-4.53,Tim Hardaway Jr.
-3.90,48,8.2,-3.85,-7.75,2014,2013,-1.25,Donald Sloan
-5.02,49,13.1,-3.28,-8.30,2014,2013,-2.35,Dennis Schroder
-2.46,80,18.5,-1.94,-4.40,2014,2013,-1.89,Mike Scott
-1.13,42,29.9,-3.31,-4.44,2014,2013,-1.57,Andrea Bargnani
-2.45,13,12.2,-2.09,-4.54,2014,2013,-0.22,John Jenkins
-1.95,24,5.9,-2.67,-4.62,2014,2013,-0.21,Nemanja Nedovic
-1.75,80,26.7,-2.88,-4.63,2014,2013,-2.96,Enes Kanter
-2.89,37,7.8,-1.99,-4.88,2014,2013,-0.46,Shabazz Muhammad
-5.64,49,10.6,0.64,-5.00,2014,2013,-0.84,Jimmer Fredette
-0.99,2,5.0,-4.10,-5.09,2014,2013,-0.01,D.J. White
-2.67,80,24.4,-2.42,-5.09,2014,2013,-3.30,Maurice Harkless
-3.57,56,18.8,-1.67,-5.24,2014,2013,-1.93,Will Bynum
-1.04,40,8.9,-4.22,-5.26,2014,2013,-0.64,Meyers Leonard
-0.43,79,12.4,-4.99,-5.42,2014,2013,-1.93,Marreese Speights
-1.44,67,13.6,-4.11,-5.55,2014,2013,-1.96,Kent Bazemore
-1.69,77,16.0,-3.94,-5.63,2014,2013,-2.37,Tony Snell
-2.90,55,15.1,-2.82,-5.72,2014,2013,-1.67,Michael Beasley
-3.26,72,24.5,-2.80,-6.06,2014,2013,-4.31,Tony Wroten
-2.45,40,11.1,-4.30,-6.75,2014,2013,-1.17,Marquis Teague
-5.27,45,9.2,-2.83,-8.10,2014,2013,-1.53,Byron Mullens
-3.15,67,17.3,-5.29,-8.44,2014,2013,-4.58,Elliot Williams
2.76,69,36.1,6.02,8.78,2015,2014,17.03,LeBron James
4.20,68,36.1,3.98,8.18,2015,2014,15.86,Anthony Davis
-0.71,67,34.4,7.79,7.08,2015,2014,14.15,Russell Westbrook
5.23,79,31.5,1.57,6.80,2015,2014,14.80,Draymond Green
4.09,79,30.1,1.97,6.06,2015,2014,12.42,Khris Middleton
2.16,81,28.5,3.25,5.41,2015,2014,11.00,Danny Green
2.22,73,32.7,2.87,5.09,2015,2014,11.01,Paul Millsap
3.42,73,23.7,1.38,4.80,2015,2014,7.66,Zaza Pachulia
2.71,71,32.5,1.84,4.55,2015,2014,9.58,Zach Randolph
2.43,82,34.4,2.03,4.46,2015,2014,12.08,DeAndre Jordan
1.73,79,35.9,2.57,4.30,2015,2014,11.63,John Wall
0.67,27,33.8,3.53,4.20,2015,2014,3.87,Kevin Durant
1.25,70,34.5,2.58,3.83,2015,2014,9.28,Kyle Lowry
-0.37,82,35.7,4.14,3.77,2015,2014,11.15,Damian Lillard
-0.72,77,31.9,4.36,3.64,2015,2014,9.60,Klay Thompson
1.75,82,20.2,1.75,3.50,2015,2014,5.92,Nikola Mirotic
3.51,64,33.1,-0.05,3.46,2015,2014,7.75,Serge Ibaka
3.03,82,31.5,0.40,3.43,2015,2014,9.49,Markieff Morris
-0.89,75,36.4,4.29,3.40,2015,2014,9.74,Kyrie Irving
0.38,67,35.2,2.97,3.35,2015,2014,8.46,Blake Griffin
1.91,80,32.7,7.43,9.34,2015,2014,20.07,Stephen Curry
-0.16,81,36.8,8.66,8.50,2015,2014,20.63,James Harden
4.59,64,31.8,2.98,7.57,2015,2014,12.67,Kawhi Leonard
0.47,82,34.8,6.45,6.92,2015,2014,16.75,Chris Paul
4.71,59,34.1,1.41,6.12,2015,2014,10.86,DeMarcus Cousins
1.34,75,32.2,4.08,5.42,2015,2014,11.59,Kyle Korver
4.67,77,28.9,0.53,5.20,2015,2014,10.33,Tim Duncan
4.92,63,26.2,-0.11,4.81,2015,2014,7.23,Tony Allen
3.54,75,30.5,1.04,4.58,2015,2014,9.99,Tyson Chandler
1.19,76,34.4,3.30,4.49,2015,2014,10.81,Gordon Hayward
3.23,62,24.0,1.12,4.35,2015,2014,6.08,Cody Zeller
0.43,65,38.7,3.87,4.30,2015,2014,10.31,Jimmy Butler
0.36,71,35.4,3.70,4.06,2015,2014,9.95,LaMarcus Aldridge
-0.87,43,29.5,4.64,3.77,2015,2014,4.76,George Hill
2.27,60,33.7,1.38,3.65,2015,2014,7.55,Wesley Matthews
1.91,81,33.2,1.70,3.61,2015,2014,9.68,Marc Gasol
1.71,64,22.3,1.79,3.50,2015,2014,5.27,Kelly Olynyk
1.85,81,34.6,1.61,3.46,2015,2014,10.38,Eric Bledsoe
2.18,74,30.8,1.22,3.40,2015,2014,7.84,Derrick Favors
-0.33,72,33.6,3.70,3.37,2015,2014,8.41,Luol Deng
2.70,52,19.8,0.59,3.29,2015,2014,3.58,Tiago Splitter
0.77,40,32.6,2.45,3.22,2015,2014,4.52,Jrue Holiday
4.97,67,23.6,-1.81,3.16,2015,2014,5.58,Andrew Bogut
3.43,81,25.3,-0.57,2.86,2015,2014,6.68,Timofey Mozgov
3.63,55,28.9,-0.82,2.81,2015,2014,5.07,Michael Kidd-Gilchrist
0.96,75,33.8,1.75,2.71,2015,2014,7.92,Kevin Love
2.93,74,18.5,-0.26,2.67,2015,2014,4.32,Al-Farouq Aminu
2.97,52,18.8,-0.37,2.60,2015,2014,2.94,Thabo Sefolosha
0.07,66,33.1,2.47,2.54,2015,2014,6.79,Chandler Parsons
0.55,63,33.4,1.93,2.48,2015,2014,6.13,Bradley Beal
1.79,74,14.3,0.67,2.46,2015,2014,3.08,Tyler Hansbrough
4.02,62,17.8,-1.69,2.33,2015,2014,3.33,Jusuf Nurkic
1.92,62,24.9,0.33,2.25,2015,2014,4.25,Iman Shumpert
0.25,75,27.8,1.90,2.15,2015,2014,5.96,Kenneth Faried
-0.25,70,31.8,2.36,2.11,2015,2014,5.99,Mike Conley
0.87,82,30.4,1.23,2.10,2015,2014,6.95,Elfrid Payton
3.30,67,19.2,-1.30,2.00,2015,2014,3.61,Andre Roberson
-0.07,59,24.2,2.05,1.98,2015,2014,3.90,Danilo Gallinari
2.08,41,29.8,-0.12,1.96,2015,2014,3.32,Dwight Howard
0.11,80,33.7,1.81,1.92,2015,2014,7.38,Monta Ellis
2.15,63,29.2,1.18,3.33,2015,2014,6.38,Mike Dunleavy
1.75,70,22.7,1.53,3.28,2015,2014,5.51,Manu Ginobili
1.83,76,29.9,1.34,3.17,2015,2014,7.94,Matt Barnes
-0.65,79,34.1,3.80,3.15,2015,2014,9.02,Tyreke Evans
-2.08,40,35.7,4.90,2.82,2015,2014,4.37,Carmelo Anthony
0.43,74,24.4,2.33,2.76,2015,2014,5.89,Anthony Morrow
2.33,22,31.5,0.38,2.71,2015,2014,2.25,Ricky Rubio
2.28,69,31.0,0.37,2.65,2015,2014,6.49,Greg Monroe
1.65,75,16.4,0.95,2.60,2015,2014,3.72,Jonas Jerebko
-1.97,80,25.2,4.49,2.52,2015,2014,6.02,Lou Williams
2.56,82,29.9,-0.10,2.46,2015,2014,7.28,Marcin Gortat
2.47,72,23.8,-0.10,2.37,2015,2014,5.04,Jared Dudley
1.45,78,34.4,0.85,2.30,2015,2014,7.71,Pau Gasol
1.05,67,27.0,1.17,2.22,2015,2014,5.21,Marcus Smart
1.82,76,30.5,0.32,2.14,2015,2014,6.34,Al Horford
0.02,70,27.9,2.08,2.10,2015,2014,5.48,Robert Covington
1.62,63,17.0,0.42,2.04,2015,2014,2.88,Lavoy Allen
1.66,70,19.6,0.33,1.99,2015,2014,3.66,James Johnson
3.63,82,26.3,-1.66,1.97,2015,2014,5.54,Rudy Gobert
-0.14,76,18.8,2.09,1.95,2015,2014,3.80,Anthony Tolliver
3.73,58,14.4,-1.86,1.87,2015,2014,2.17,Nick Calathes
1.32,75,26.4,0.51,1.83,2015,2014,5.09,Amir Johnson
0.26,45,34.8,1.53,1.79,2015,2014,4.12,Darren Collison
0.15,58,27.0,1.51,1.66,2015,2014,3.97,Jared Sullinger
2.36,82,35.7,-0.78,1.58,2015,2014,7.28,Trevor Ariza
-2.69,67,25.8,4.14,1.45,2015,2014,4.16,Isaiah Thomas
0.26,78,30.9,1.14,1.40,2015,2014,5.72,JJ Redick
0.89,62,15.7,0.46,1.35,2015,2014,2.26,CJ McCollum
2.13,66,16.7,-0.83,1.30,2015,2014,2.54,Nick Collison
-0.37,82,31.5,1.66,1.29,2015,2014,5.78,Kentavious Caldwell-Pope
-0.59,74,19.4,1.82,1.23,2015,2014,3.03,Otto Porter Jr.
-1.10,77,29.5,2.28,1.18,2015,2014,4.93,Reggie Jackson
0.43,51,15.7,0.53,0.96,2015,2014,1.67,Patty Mills
2.32,47,20.3,-1.42,0.90,2015,2014,1.87,Kevin Garnett
0.72,38,7.0,0.17,0.89,2015,2014,0.51,Jeremy Evans
-1.24,80,34.9,2.11,0.87,2015,2014,5.41,Joe Johnson
1.50,81,31.4,-0.63,0.87,2015,2014,5.04,Giannis Antetokounmpo
-0.48,82,26.8,1.34,0.86,2015,2014,4.25,Tristan Thompson
-1.93,77,17.7,2.71,0.78,2015,2014,2.64,J.J. Barea
0.81,82,30.5,-0.07,0.74,2015,2014,4.75,Andre Drummond
-0.45,68,31.1,2.36,1.91,2015,2014,5.51,Deron Williams
0.95,73,30.5,0.92,1.87,2015,2014,5.88,Jeff Teague
3.91,58,17.0,-2.08,1.83,2015,2014,2.63,Darrell Arthur
0.27,74,25.8,1.39,1.66,2015,2014,4.75,Jeremy Lin
-2.36,75,35.5,3.96,1.60,2015,2014,6.75,Ty Lawson
1.17,70,26.3,0.41,1.58,2015,2014,4.54,CJ Miles
3.42,47,19.7,-1.99,1.43,2015,2014,2.10,Elijah Millsap
0.99,77,26.9,0.37,1.36,2015,2014,4.88,Andre Iguodala
1.46,63,16.5,-0.12,1.34,2015,2014,2.35,Pero Antic
2.21,74,23.6,-0.91,1.30,2015,2014,3.94,Alan Anderson
-1.41,41,28.6,2.64,1.23,2015,2014,2.62,Brandon Jennings
1.15,76,32.0,0.05,1.20,2015,2014,5.38,Thaddeus Young
2.21,67,30.6,-1.12,1.09,2015,2014,4.33,Joakim Noah
0.71,82,32.6,0.20,0.91,2015,2014,5.51,Ben McLemore
-0.26,51,30.0,1.15,0.89,2015,2014,3.10,Derrick Rose
0.93,79,18.3,-0.05,0.88,2015,2014,2.83,Cory Joseph
1.24,17,17.4,-0.37,0.87,2015,2014,0.56,Josh McRoberts
2.68,49,8.3,-1.82,0.86,2015,2014,0.80,Joel Anthony
0.92,40,12.6,-0.10,0.82,2015,2014,0.98,Mike Muscala
3.30,81,16.6,-2.56,0.74,2015,2014,2.56,Kosta Koufos
1.64,48,23.8,-0.96,0.68,2015,2014,2.10,Hassan Whiteside
2.91,67,25.3,-2.31,0.60,2015,2014,3.04,Nene Hilario
0.87,81,20.5,-0.30,0.57,2015,2014,3.03,Luis Scola
0.99,31,26.3,-0.43,0.56,2015,2014,1.49,Nikola Pekovic
1.74,59,27.8,-1.21,0.53,2015,2014,2.94,Robin Lopez
1.03,78,26.1,-0.60,0.43,2015,2014,3.48,Marvin Williams
-0.38,70,31.3,0.79,0.41,2015,2014,3.75,DeMarre Carroll
-0.35,57,24.9,0.72,0.37,2015,2014,2.42,C.J. Watson
2.91,53,17.7,-2.57,0.34,2015,2014,1.53,Lou Amundson
0.25,73,26.2,0.05,0.30,2015,2014,3.13,Paul Pierce
-0.16,48,12.4,0.43,0.27,2015,2014,0.96,Dorell Wright
0.36,77,21.3,-0.19,0.17,2015,2014,2.65,Jason Terry
1.25,70,16.0,-1.13,0.12,2015,2014,1.75,Aron Baynes
1.13,71,28.7,-1.04,0.09,2015,2014,3.13,Donatas Motiejunas
-0.35,49,18.4,0.40,0.05,2015,2014,1.39,David Lee
2.43,76,25.3,-2.44,-0.01,2015,2014,2.73,Roy Hibbert
0.90,68,14.1,-1.01,-0.11,2015,2014,1.27,Alexis Ajinca
0.53,65,25.8,-0.69,-0.16,2015,2014,2.20,Wayne Ellington
-0.39,60,35.0,0.21,-0.18,2015,2014,2.81,DeMar DeRozan
-0.36,62,17.0,0.11,-0.25,2015,2014,1.31,James Ennis III
-0.04,44,35.4,0.72,0.68,2015,2014,2.82,Chris Bosh
-1.89,77,29.6,2.51,0.62,2015,2014,4.22,Dirk Nowitzki
1.36,82,21.1,-0.78,0.58,2015,2014,3.25,Tyler Zeller
0.39,43,22.8,0.17,0.56,2015,2014,1.78,Ronnie Price
1.23,82,28.3,-0.68,0.55,2015,2014,4.37,Harrison Barnes
-0.54,70,29.7,1.02,0.48,2015,2014,3.62,JR Smith
-2.46,68,35.4,2.87,0.41,2015,2014,4.20,Rudy Gay
0.12,71,33.5,0.26,0.38,2015,2014,4.08,Nicolas Batum
1.01,80,28.9,-0.65,0.36,2015,2014,3.84,Gerald Henderson
-1.83,81,26.6,2.17,0.34,2015,2014,3.52,Patrick Patterson
1.53,50,10.6,-1.23,0.30,2015,2014,0.86,Cory Jefferson
0.67,17,12.6,-0.48,0.19,2015,2014,0.32,Jeff Adrien
0.46,3,1.0,-0.31,0.15,2015,2014,0.00,Sim Bhullar
0.35,32,15.2,-0.25,0.10,2015,2014,0.78,Mitch McGary
0.26,81,24.5,-0.20,0.06,2015,2014,2.93,Boris Diaw
0.18,21,10.0,-0.18,0.00,2015,2014,0.30,Luigi Datome
1.00,66,28.7,-1.06,-0.06,2015,2014,2.68,David West
1.94,60,18.9,-2.08,-0.14,2015,2014,1.51,Chris Andersen
1.71,55,15.4,-1.88,-0.17,2015,2014,1.16,Meyers Leonard
0.08,29,8.8,-0.33,-0.25,2015,2014,0.33,Chuck Hayes
-1.59,72,35.7,1.28,-0.31,2015,2014,3.29,Victor Oladipo
-1.95,62,31.8,1.61,-0.34,2015,2014,2.41,Dwyane Wade
-0.15,71,26.4,-0.19,-0.34,2015,2014,2.31,Rodney Stuckey
0.73,77,31.5,-1.07,-0.34,2015,2014,3.13,Avery Bradley
0.30,33,16.8,-0.66,-0.36,2015,2014,0.69,Sergey Karasev
0.07,50,21.3,-0.48,-0.41,2015,2014,1.22,Rodney Hood
0.38,5,4.6,-0.80,-0.42,2015,2014,0.03,Miroslav Raduljica
-1.07,82,20.1,0.63,-0.44,2015,2014,1.99,Jae Crowder
2.90,27,21.7,-3.42,-0.52,2015,2014,0.69,Larry Sanders
0.43,10,11.9,-1.00,-0.57,2015,2014,0.14,Quincy Miller
0.07,10,7.6,-0.66,-0.59,2015,2014,0.08,Victor Claver
2.20,59,14.3,-2.79,-0.59,2015,2014,0.92,Dewayne Dedmon
-0.08,67,20.6,-0.52,-0.60,2015,2014,1.44,Matthew Dellavedova
-0.29,82,21.3,-0.32,-0.61,2015,2014,1.82,Mason Plumlee
1.03,80,26.2,-1.71,-0.68,2015,2014,2.17,Jonas Valanciunas
-0.30,67,17.9,-0.42,-0.72,2015,2014,1.20,Pablo Prigioni
0.68,73,30.0,-1.42,-0.74,2015,2014,2.20,Gorgui Dieng
2.47,61,18.8,-3.22,-0.75,2015,2014,1.13,Ian Mahinmi
-0.60,76,29.5,-0.20,-0.80,2015,2014,2.12,Wesley Johnson
0.54,66,25.0,-1.37,-0.83,2015,2014,1.49,Dante Cunningham
-0.82,13,9.2,0.53,-0.29,2015,2014,0.05,Elliot Williams
0.16,75,19.3,-0.49,-0.33,2015,2014,1.84,Brandan Wright
1.47,48,12.9,-1.81,-0.34,2015,2014,0.77,Joel Freeland
-2.10,78,33.8,1.76,-0.34,2015,2014,3.36,Goran Dragic
-0.07,51,16.9,-0.29,-0.36,2015,2014,1.03,Drew Gooden
0.80,33,26.9,-1.17,-0.37,2015,2014,1.11,Terrence Jones
-0.91,28,14.9,0.49,-0.42,2015,2014,0.50,Kendall Marshall
0.83,78,18.8,-1.27,-0.44,2015,2014,1.77,Shaun Livingston
1.39,83,27.7,-1.84,-0.45,2015,2014,2.80,Josh Smith
0.34,23,5.6,-0.89,-0.55,2015,2014,0.14,Nazr Mohammed
-0.58,15,9.1,0.00,-0.58,2015,2014,0.15,James Michael McAdoo
-0.30,72,19.6,-0.29,-0.59,2015,2014,1.53,Tony Snell
0.16,72,29.2,-0.76,-0.60,2015,2014,2.22,Brook Lopez
-0.16,74,16.8,-0.45,-0.61,2015,2014,1.38,Richard Jefferson
0.60,78,30.6,-1.22,-0.62,2015,2014,2.60,PJ Tucker
-1.74,68,29.1,1.02,-0.72,2015,2014,2.02,Mo Williams
-1.17,32,18.8,0.44,-0.73,2015,2014,0.00,Tyler Johnson
2.16,69,22.0,-2.90,-0.74,2015,2014,1.59,Alex Len
-0.76,62,11.4,-0.04,-0.80,2015,2014,0.68,Hedo Turkoglu
0.76,19,6.6,-1.56,-0.80,2015,2014,0.12,Jarnell Stokes
-1.35,58,28.6,0.48,-0.87,2015,2014,1.52,Evan Fournier
0.09,5,2.8,-0.98,-0.89,2015,2014,0.01,Alex Kirk
-1.14,77,30.6,0.23,-0.91,2015,2014,2.05,Courtney Lee
0.30,33,3.9,-1.23,-0.93,2015,2014,0.12,Ekpe Udoh
1.58,64,19.4,-2.57,-0.99,2015,2014,1.02,Bismack Biyombo
0.66,16,5.4,-1.67,-1.01,2015,2014,0.08,Jack Cooley
-2.00,62,34.2,0.97,-1.03,2015,2014,1.69,Kemba Walker
-2.33,82,23.0,1.25,-1.08,2015,2014,1.46,Aaron Brooks
-1.28,35,7.5,0.19,-1.09,2015,2014,0.21,Glenn Robinson III
-0.79,20,5.4,-0.32,-1.11,2015,2014,0.08,Shayne Whittington
0.16,2,9.5,-1.28,-1.12,2015,2014,0.02,Ronny Turiaf
-0.93,5,11.2,-0.22,-1.15,2015,2014,0.04,Lester Hudson
-0.09,47,16.3,-1.07,-1.16,2015,2014,0.55,Reggie Evans
1.83,76,26.1,-3.01,-1.18,2015,2014,1.41,Omer Asik
0.45,80,29.6,-1.65,-1.20,2015,2014,1.65,Mario Chalmers
-0.61,30,8.3,-0.62,-1.23,2015,2014,0.17,Jordan Adams
-0.35,6,3.8,-0.92,-1.27,2015,2014,0.02,Lucas Nogueira
1.12,65,21.2,-2.40,-1.28,2015,2014,0.94,Jerami Grant
0.37,51,19.8,-1.67,-1.30,2015,2014,0.63,Shabazz Napier
2.10,42,8.6,-3.43,-1.33,2015,2014,0.23,Greg Smith
-0.74,81,18.9,-0.12,-0.86,2015,2014,1.41,Steve Blake
-0.46,2,3.5,-0.42,-0.88,2015,2014,0.01,Tyrus Thomas
0.56,65,30.6,-1.47,-0.91,2015,2014,1.75,Al Jefferson
-0.47,45,32.4,-0.45,-0.92,2015,2014,1.27,Langston Galloway
0.21,2,1.5,-1.17,-0.96,2015,2014,0.00,Jerrelle Benimon
1.82,51,16.2,-2.82,-1.00,2015,2014,0.69,Kyle O'Quinn
1.59,67,16.9,-2.61,-1.02,2015,2014,0.93,Robert Sacre
-1.91,81,25.2,0.87,-1.04,2015,2014,1.70,Marcus Morris
-0.52,3,0.7,-0.57,-1.09,2015,2014,0.00,Eric Moreland
-2.45,58,22.7,1.34,-1.11,2015,2014,1.02,Ersan Ilyasova
0.81,36,13.5,-1.93,-1.12,2015,2014,0.37,Elton Brand
-1.51,79,19.8,0.39,-1.12,2015,2014,1.14,Trevor Booker
-0.89,79,23.3,-0.26,-1.15,2015,2014,1.35,Ed Davis
-1.12,59,21.1,-0.05,-1.17,2015,2014,0.88,Amar'e Stoudemire
1.54,70,25.3,-2.72,-1.18,2015,2014,1.30,Steven Adams
0.77,46,9.6,-1.98,-1.21,2015,2014,0.32,Ryan Hollins
0.96,52,14.2,-2.23,-1.27,2015,2014,0.48,Garrett Temple
0.34,58,16.9,-1.62,-1.28,2015,2014,0.67,Will Barton
-0.49,66,16.5,-0.81,-1.30,2015,2014,0.70,Vince Carter
0.39,62,27.3,-1.72,-1.33,2015,2014,1.05,Taj Gibson
-0.66,71,23.9,-0.71,-1.37,2015,2014,1.05,O.J. Mayo
1.03,69,12.4,-2.42,-1.39,2015,2014,0.53,Joey Dorsey
-1.88,61,33.1,0.48,-1.40,2015,2014,1.17,Eric Gordon
-0.71,6,15.2,-0.73,-1.44,2015,2014,0.05,Paul George
-0.21,11,9.5,-1.27,-1.48,2015,2014,0.06,Kenyon Martin
0.49,12,7.5,-1.97,-1.48,2015,2014,0.05,Clint Capela
-0.66,32,8.9,-0.86,-1.52,2015,2014,0.15,Gerald Wallace
-0.51,29,8.1,-1.01,-1.52,2015,2014,0.13,Dwight Powell
-1.70,12,14.8,0.16,-1.54,2015,2014,0.03,Toney Douglas
0.95,40,22.3,-2.50,-1.55,2015,2014,0.43,Mirza Teletovic
-0.30,56,30.8,-1.27,-1.57,2015,2014,0.85,Patrick Beverley
-0.93,11,21.7,-0.64,-1.57,2015,2014,0.08,Tim Frazier
-2.13,81,15.5,0.51,-1.62,2015,2014,0.55,Andre Miller
-1.70,42,23.8,0.07,-1.63,2015,2014,0.45,Nick Young
-0.54,75,23.9,-1.10,-1.64,2015,2014,0.77,Quincy Pondexter
-2.13,82,36.2,0.47,-1.66,2015,2014,1.28,Andrew Wiggins
0.91,73,17.5,-2.60,-1.69,2015,2014,0.52,Spencer Hawes
-0.51,19,21.9,-1.20,-1.71,2015,2014,0.17,Jason Richardson
-0.19,1,14.0,-1.52,-1.71,2015,2014,0.00,Julius Randle
-0.72,19,4.7,-1.03,-1.75,2015,2014,0.04,Jared Cunningham
1.78,67,28.6,-3.12,-1.34,2015,2014,1.21,Luc Mbah a Moute
-0.28,82,27.6,-1.09,-1.37,2015,2014,1.39,Evan Turner
-0.12,75,24.9,-1.28,-1.40,2015,2014,1.11,Channing Frye
-0.21,82,23.5,-1.21,-1.42,2015,2014,1.13,Brandon Bass
-1.47,76,15.9,0.02,-1.45,2015,2014,0.72,Marreese Speights
0.33,16,4.5,-1.81,-1.48,2015,2014,0.04,Ognjen Kuzmic
3.35,75,30.8,-4.85,-1.50,2015,2014,1.24,Nerlens Noel
-1.19,9,9.6,-0.33,-1.52,2015,2014,0.04,Xavier Henry
-0.70,37,7.0,-0.83,-1.53,2015,2014,0.13,Jeff Withey
-1.24,80,26.1,-0.31,-1.55,2015,2014,1.10,Corey Brewer
-0.89,4,18.0,-0.66,-1.55,2015,2014,0.04,Sean Kilpatrick
0.57,46,11.0,-2.14,-1.57,2015,2014,0.25,Festus Ezeli
-1.84,76,22.2,0.24,-1.60,2015,2014,0.79,Devin Harris
-0.69,2,3.5,-0.93,-1.62,2015,2014,0.00,David Wear
2.12,74,12.2,-3.76,-1.64,2015,2014,0.40,Glen Davis
-1.79,9,8.1,0.13,-1.66,2015,2014,0.03,Jannero Pargo
-1.82,66,14.9,0.13,-1.69,2015,2014,0.42,Leandro Barbosa
-3.75,61,27.5,2.05,-1.70,2015,2014,0.66,Ryan Anderson
-0.23,59,11.1,-1.48,-1.71,2015,2014,0.27,Justin Holiday
0.28,73,16.4,-2.01,-1.73,2015,2014,0.46,Miles Plumlee
-1.74,67,21.1,-0.02,-1.76,2015,2014,0.54,Omri Casspi
0.27,81,24.6,-2.08,-1.81,2015,2014,0.67,Jason Thompson
-0.37,74,34.2,-1.48,-1.85,2015,2014,0.79,Nikola Vucevic
-0.65,17,3.9,-1.24,-1.89,2015,2014,0.02,Greg Stiemsma
-0.29,16,13.0,-1.62,-1.91,2015,2014,0.06,Devyn Marble
-2.54,38,22.8,0.61,-1.93,2015,2014,0.23,Shabazz Muhammad
