DRPM,GP,MPG,ORPM,RPM,Season_End_Year,Season_Start_Year,WINS,names
0.85,73,34.7,0.68,1.53,2014,2013,6.07,Rudy Gay
2.19,29,33.0,-0.69,1.50,2014,2013,2.29,Al Horford
0.78,67,35.2,0.65,1.43,2014,2013,5.46,Anthony Davis
-1.52,82,36.9,2.92,1.40,2014,2013,7.04,Monta Ellis
1.58,74,27.6,-0.25,1.33,2014,2013,4.69,Jared Sullinger
1.35,69,33.2,-0.13,1.22,2014,2013,5.24,David Lee
-1.87,22,36.1,3.04,1.17,2014,2013,1.69,Ryan Anderson
-0.89,81,32.2,2.03,1.14,2014,2013,6.03,Corey Brewer
0.21,51,19.3,0.89,1.10,2014,2013,2.12,CJ Miles
-0.75,74,32.7,1.82,1.07,2014,2013,4.82,JR Smith
1.20,60,31.4,-0.16,1.04,2014,2013,4.24,Pau Gasol
2.67,80,16.9,-1.67,1.00,2014,2013,2.71,Kosta Koufos
3.83,32,19.8,-2.86,0.97,2014,2013,1.24,Kenyon Martin
-1.01,59,22.2,1.95,0.94,2014,2013,2.86,Ryan Kelly
1.81,78,16.1,0.10,1.91,2014,2013,3.31,Jae Crowder
0.87,82,32.8,0.95,1.82,2014,2013,7.07,Greg Monroe
0.82,73,29.8,0.94,1.76,2014,2013,5.41,Mario Chalmers
-0.26,54,10.0,2.01,1.75,2014,2013,1.34,Steve Novak
0.15,72,17.7,1.57,1.72,2014,2013,3.18,Matthew Dellavedova
0.66,80,28.5,1.04,1.70,2014,2013,5.84,Reggie Jackson
0.79,73,35.8,0.79,1.58,2014,2013,6.12,Kemba Walker
1.11,65,23.6,0.42,1.53,2014,2013,3.61,Patrick Patterson
2.39,50,18.5,-0.89,1.50,2014,2013,2.21,Pero Antic
1.78,77,35.5,-0.38,1.40,2014,2013,6.46,Josh Smith
2.00,74,26.5,-0.63,1.37,2014,2013,4.26,Iman Shumpert
2.07,62,24.2,-0.78,1.29,2014,2013,3.26,Michael Kidd-Gilchrist
-0.43,58,18.6,1.62,1.19,2014,2013,2.29,Brandan Wright
-0.25,79,22.5,1.41,1.16,2014,2013,3.70,Greivis Vasquez
1.32,73,20.1,-0.20,1.12,2014,2013,3.12,Shane Battier
3.39,32,9.9,-2.31,1.08,2014,2013,0.68,Josh Harrellson
2.07,80,25.6,-1.01,1.06,2014,2013,4.25,Al-Farouq Aminu
0.14,78,35.3,0.90,1.04,2014,2013,5.66,Lance Stephenson
1.18,45,19.0,-0.20,0.98,2014,2013,1.73,Andrei Kirilenko
1.04,77,35.4,-0.10,0.94,2014,2013,5.47,Trevor Ariza
-1.89,68,32.0,2.78,0.89,2014,2013,4.29,Jameer Nelson
1.47,30,10.7,-0.60,0.87,2014,2013,0.63,Landry Fields
1.31,14,6.8,-0.48,0.83,2014,2013,0.19,Shavlik Randolph
1.95,81,17.6,-1.21,0.74,2014,2013,2.76,Derek Fisher
0.53,53,12.4,0.13,0.66,2014,2013,1.23,Robbie Hummel
0.59,78,30.3,0.03,0.62,2014,2013,4.12,Josh McRoberts
-1.59,77,36.4,2.17,0.58,2014,2013,4.99,Gordon Hayward
-2.86,35,28.2,3.37,0.51,2014,2013,1.81,JJ Redick
-0.95,82,36.0,1.43,0.48,2014,2013,5.20,Nicolas Batum
-1.20,15,20.9,1.58,0.38,2014,2013,0.58,Steve Nash
3.91,61,7.9,-3.62,0.29,2014,2013,0.81,Ryan Hollins
-1.08,82,33.9,1.26,0.18,2014,2013,4.35,Wesley Matthews
-1.17,80,27.2,1.34,0.17,2014,2013,3.58,Kenneth Faried
-1.89,44,19.7,2.00,0.11,2014,2013,1.34,Nate Robinson
2.83,42,19.1,-2.77,0.06,2014,2013,1.16,Ekpe Udoh
