DRPM,GP,MPG,ORPM,RPM,Season_End_Year,season_id,WINS,names,name_length_post_split,First_Name,Last_Name,Game_id,Person_id,Team_id,Season_Total_Minutes,Season_Total_Minutes*RPM
-0.48,78,28.3,-2.4,-2.88,2014,2013,-0.74,Harrison Barnes,2,Harrison,Barnes,21300067.0,203084.0,1610612744.0,2207.4,-6357.312
-4.75,64,32.1,1.85,-2.9,2014,2013,-0.7,Eric Gordon,2,Eric,Gordon,21300011.0,201569.0,1610612740.0,2054.4,-5957.76
0.19,30,4.9,-3.15,-2.96,2014,2013,-0.06,Bernard James,2,Bernard,James,21300025.0,203108.0,1610612742.0,147.0,-435.12
0.55,82,17.1,-3.58,-3.03,2014,2013,-0.58,Luis Scola,2,Luis,Scola,21300001.0,2449.0,1610612754.0,1402.2,-4248.666
-1.62,70,18.2,-1.42,-3.04,2014,2013,-0.53,Mason Plumlee,2,Mason,Plumlee,21300043.0,203486.0,1610612751.0,1274.0,-3872.96
-1.74,82,24.6,-1.32,-3.06,2014,2013,-0.84,Norris Cole,2,Norris,Cole,21300002.0,202708.0,1610612748.0,2017.2,-6172.6320000000005
-0.83,6,9.2,-2.24,-3.07,2014,2013,-0.02,Keith Bogans,2,Keith,Bogans,21300041.0,2586.0,1610612738.0,55.199999999999996,-169.46399999999997
1.68,53,10.9,-4.77,-3.09,2014,2013,-0.26,Kevin Seraphin,2,Kevin,Seraphin,21300007.0,202338.0,1610612764.0,577.7,-1785.093
-3.84,72,21.6,0.7,-3.14,2014,2013,-0.79,Aaron Brooks,2,Aaron,Brooks,21300009.0,201166.0,1610612745.0,1555.2,-4883.328
-1.98,72,33.3,-1.2,-3.18,2014,2013,-1.21,Brandon Knight,2,Brandon,Knight,21300008.0,202688.0,1610612749.0,2397.6,-7624.368
-1.61,80,28.2,-1.59,-3.2,2014,2013,-1.16,Jarrett Jack,2,Jarrett,Jack,21300004.0,101127.0,1610612739.0,2256.0,-7219.200000000001
-0.23,42,8.6,-3.02,-3.25,2014,2013,-0.21,Alex Len,2,Alex,Len,21300015.0,203458.0,1610612756.0,361.2,-1173.8999999999999
-0.96,77,32.0,-1.66,-2.62,2014,2013,-0.39,Gerald Henderson,2,Gerald,Henderson,21300009.0,201945.0,1610612766.0,2464.0,-6455.68
-0.4,81,28.2,-2.3,-2.7,2014,2013,-0.48,Jonas Valanciunas,2,Jonas,Valanciunas,21300006.0,202685.0,1610612761.0,2284.2,-6167.34
-2.94,74,24.8,0.21,-2.73,2014,2013,-0.43,Mo Williams,2,Mo,Williams,21300015.0,2590.0,1610612757.0,1835.2,-5010.0960000000005
-0.68,78,23.3,-2.05,-2.73,2014,2013,-0.43,Derrick Williams,2,Derrick,Williams,21300027.0,202682.0,1610612750.0,1817.4,-4961.502
-2.02,38,11.0,-0.76,-2.78,2014,2013,-0.11,Brandon Rush,2,Brandon,Rush,21300052.0,201575.0,1610612762.0,418.0,-1162.04
-0.51,59,14.7,-2.28,-2.79,2014,2013,-0.24,Cartier Martin,2,Cartier,Martin,21300012.0,201858.0,1610612737.0,867.3,-2419.767
-0.46,14,9.4,-2.34,-2.8,2014,2013,-0.04,Chris Babb,2,Chris,Babb,21300877.0,203569.0,1610612738.0,131.6,-368.47999999999996
-3.68,72,23.4,0.84,-2.84,2014,2013,-0.5,Jerryd Bayless,2,Jerryd,Bayless,21300013.0,201573.0,1610612763.0,1684.8,-4784.831999999999
0.21,31,12.2,-3.09,-2.88,2014,2013,-0.12,Ronnie Price,2,Ronnie,Price,21300001.0,101179.0,1610612753.0,378.2,-1089.216
0.04,64,15.3,-2.93,-2.89,2014,2013,-0.32,Tyler Hansbrough,2,Tyler,Hansbrough,21300006.0,201946.0,1610612761.0,979.2,-2829.8880000000004
-3.72,72,28.2,0.76,-2.96,2014,2013,-0.75,Tyreke Evans,2,Tyreke,Evans,21300011.0,201936.0,1610612740.0,2030.3999999999999,-6009.9839999999995
-3.63,41,22.2,0.64,-2.99,2014,2013,-0.38,Jordan Farmar,2,Jordan,Farmar,21300003.0,200770.0,1610612747.0,910.1999999999999,-2721.498
-1.22,60,17.0,-1.81,-3.03,2014,2013,-0.45,Jordan Hamilton,2,Jordan,Hamilton,21300057.0,202706.0,1610612743.0,1020.0,-3090.6
-2.1,70,34.5,-0.95,-3.05,2014,2013,-1.11,Michael Carter-Williams,2,Michael,Carter-Williams,21300005.0,203487.0,1610612755.0,2415.0,-7365.75
-1.14,82,27.0,-1.93,-3.07,2014,2013,-0.96,Richard Jefferson,2,Richard,Jefferson,21300014.0,2210.0,1610612762.0,2214.0,-6796.98
-0.76,63,16.9,-2.33,-3.09,2014,2013,-0.49,Travis Outlaw,2,Travis,Outlaw,21300016.0,2566.0,1610612758.0,1064.6999999999998,-3289.9229999999993
1.68,80,7.0,-4.8,-3.12,2014,2013,-0.24,Nazr Mohammed,2,Nazr,Mohammed,21300002.0,1737.0,1610612741.0,560.0,-1747.2
-3.63,80,25.2,0.46,-3.17,2014,2013,-1.04,Marco Belinelli,2,Marco,Belinelli,21300013.0,201158.0,1610612759.0,2016.0,-6390.72
-2.95,73,35.0,-0.24,-3.19,2014,2013,-1.3,Arron Afflalo,2,Arron,Afflalo,21300001.0,201167.0,1610612753.0,2555.0,-8150.45
-1.33,79,18.6,-1.9,-3.23,2014,2013,-0.81,J.J. Barea,2,J.J.,Barea,,,,1469.4,-4746.162
-1.5,47,10.5,-1.82,-3.32,2014,2013,-0.29,Nando De Colo,3,Nando,Colo,,,,493.5,-1638.4199999999998
1.69,25,10.0,-5.04,-3.35,2014,2013,-0.15,Chris Singleton,2,Chris,Singleton,21300212.0,202698.0,1610612764.0,250.0,-837.5
-0.8,37,8.6,-2.69,-3.49,2014,2013,-0.21,Otto Porter Jr.,3,Otto,Jr.,,,,318.2,-1110.518
-1.42,15,16.3,-2.15,-3.57,2014,2013,-0.18,Jorge Gutierrez,2,Jorge,Gutierrez,21300938.0,203268.0,1610612751.0,244.5,-872.865
-0.5,5,16.0,-3.16,-3.66,2014,2013,-0.07,JaVale McGee,2,JaVale,McGee,21300016.0,201580.0,1610612743.0,80.0,-292.8
-3.46,77,22.6,-0.22,-3.68,2014,2013,-1.5,Hollis Thompson,2,Hollis,Thompson,21300022.0,203138.0,1610612755.0,1740.2,-6403.936000000001
1.0,76,15.4,-4.79,-3.79,2014,2013,-1.03,Andrew Nicholson,2,Andrew,Nicholson,21300001.0,203094.0,1610612753.0,1170.4,-4435.816000000001
